ID,END_DATE,START_DATE,AGENDA_TITLE,AGENDA,MP3,ORDINANCES,MINUTES,RESOLUTIONS,OTHER
108,2017-06-08,2017-06-07,June 7-8 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/10982821/file/document"" title=""June 7-8, 2017 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/10975722/"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:06/7/2017%20to%2006/13/2017+And+recSchedule:2001-07"" title=""Ordinances from June 7, 2017 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/11843617/file/document"" style=""; font-size: 1em; font-weight: bold;"" title=""Minutes from June 7-8, 2017 Council Meetings"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:06/7/2017%20to%2006/13/2017"" title=""Resolutions from June 7, 2017 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:06/7/2017%20to%2006/13/2017"" title=""Other from June 7, 2017 Council Meeting"">other</a>"
109,2017-06-15,2017-06-14,June 14-15 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/10996305/file/document"" title=""June 14-15, 2017 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/10996372/"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:06/14/2017%20to%2006/20/2017+And+recSchedule:2001-07"" title=""Ordinances from June 14, 2017 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/11843619/file/document"" title=""Minutes from June 14-15, 2017 Council Meetings"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:06/14/2017%20to%2006/20/2017"" title=""Resolutions from June 14, 2017 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:06/14/2017%20to%2006/20/2017"" title=""Other from June 14, 2017 Council Meeting"">other</a>"
110,2017-06-22,2017-06-21,June 21-22 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11005522/file/document"" title=""June 21-22, 2017 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11007736/"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:06/21/2017%20to%2006/27/2017+And+recSchedule:2001-07"" title=""Ordinances from June 21, 2017 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/11843620/file/document"" style=""; font-size: 1em; font-weight: bold;"" title=""Minutes from June 21-22, 2017 Council Meetings"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:06/21/2017%20to%2006/27/2017"" title=""Resolutions from June 21, 2017 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:06/21/2017%20to%2006/27/2017"" title=""Other from June 21, 2017 Council Meeting"">other</a>"
111,2017-07-13,2017-07-12,July 12-13 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11062870/file/document"" title=""July 12-13, 2017 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11062625/"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:07/12/2017%20to%2007/18/2017+And+recSchedule:2001-07"" title=""Ordinances from July 12-13, 2017 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/12247977/file/document"" title=""Minutes from July 12-13, 2017 Council meeting"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:07/12/2017 to 07/18/2017"" title=""Resolutions from July 12-13, 2017 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:07/12/2017 to 07/18/2017"" title=""Other from July 12-13, 2017 Council Meeting"">other</a>"
112,2017-07-20,2017-07-19,July 19-20 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11071880/file/document"" title=""July 19-20, 2017 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11074578/"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:07/19/2017%20to%2007/25/2017+And+recSchedule:2001-07"" title=""Ordinances from July 19-20, 2017 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/12247978/file/document"" title=""Minutes from July 19-20, 2017 Council meetings"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:07/19/2017 to 07/25/2017"" title=""Resolutions from July 19-20, 2017 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:07/19/2017 to 07/25/2017"" title=""Other from July 19-20, 2017 Council Meeting"">other</a>"
113,2017-08-03,2017-08-02,August 2-3 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/record/11099705/file/document"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11098774/"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:08/2/2017 to 08/8/2017+And+recSchedule:2001-07"" title=""Ordinances from August 2-3, 2017 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/12247981/file/document"" title=""Minutes from August 2-3, 2017 Council Meetings"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:08/2/2017 to 08/8/2017"" title=""Resolutions from August 2-3, 2017 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:08/2/2017 to 08/8/2017"" title=""Other from August 2-3, 2017 Council Meeting"">other</a>"
114,2017-08-10,2017-08-09,August 9-10 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11108850/file/document"" title=""August 9-10, 2017 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11107529/"" title=""August 9-10, 2017 Council Meeting Records"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:08/8/2017%20to%2008/15/2017+And+recSchedule:2001-07"" title=""Ordinances from August 9-10, 2017 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/12247982/file/document"" style=""; font-size: 1em; font-weight: bold;"" title=""Minutes from August 9-10, 2017 Council Meetings"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:08/8/2017%20to%2008/15/2017"" title=""Resolutions from August 9-10, 2017 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:08/9/2017%20to%2008/15/2017"" title=""Other from August 9-10, 2017 Council Meeting"">other</a>"
115,2017-08-24,2017-08-23,August 23-24 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11135442/file/document"" title=""August 23-24, 2017 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11131213/"" title=""August 23-24, 2017 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:08/23/2017%20to%2008/29/2017+And+recSchedule:2001-07"" title=""Ordinances from August 23-24, 2017 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/12247984/file/document"" title=""Minutes from August 23-24, 2017"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:08/23/2017%20to%2008/29/2017"" title=""Resolutions from August 23-24, 2017 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:08/23/2017%20to%2008/29/2017"" title=""Other from August 23-24, 2017 Council Meeting"">other</a>"
116,2017-08-31,2017-08-30,August 30-31 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11145488/file/document"" title=""August 30-31, 2017 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11146618/"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:08/30/2017%20to%2009/05/2017+And+recSchedule:2001-07"" title=""Ordinances from August 30-31, 2017 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/12247987/file/document"" title=""Minutes from August 30-31, 2017 Council meetings"">minutes</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:08/30/2017%20to%2009/05/2017"" title=""Other from August 30-31, 2017 Council Meeting"">other</a>"
117,2017-09-07,2017-09-06,September 6-7 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11170349/file/document"" title=""September 6-7, 2017 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11161709/"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:09/06/2017%20to%2009/12/2017+And+recSchedule:2001-07"" title=""Ordinances from September 6-7, 2017 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/12247988/file/document"" title=""Minutes from September 6-7, 2017 Council meetings"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:09/06/2017%20to%2009/12/2017"" title=""Resolutions from September 6-7, 2017 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:09/06/2017%20to%2009/12/2017"" title=""Other from September 6-7, 2017 Council Meeting"">other</a>"
118,2017-09-14,2017-09-13,September 13-14 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/record/11188057/file/document"" title=""September 13-14, 2017 Disposition Agenda "">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11161709/"">a</a>udio","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:09/13/2017%20to%2009/19/2017+And+recSchedule:2001-07"" title=""Ordinances from September 13-14, 2017 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/12247989/file/document"" title=""Minutes from September 13-14, 2017 Council meetings"">minutes</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:09/13/2017%20to%2009/19/2017"" title=""Other from September 13-14, 2017 Council Meeting"">other</a>"
119,2017-09-21,2017-09-20,September 20-21 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11206181//file/document"" title=""September 20-21, 2017 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11206195/"" title=""September 20-21, 2017 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:09/20/2017%20to%2009/26/2017+And+recSchedule:2001-07"" title=""Ordinances from September 20-21, 2017 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/12247990/file/document"" title=""Minutes from September 20-21, 2017 Council meetings"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:09/20/2017%20to%2009/26/2017"" title=""Resolutions from September 20-21, 2017 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:09/20/2017%20to%2009/26/2017"" title=""Other from September 20-21, 2017 Council Meeting"">other</a>"
120,2017-09-28,2017-09-27,September 27-28 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11217590/file/document"" title=""September 27-28, 2017 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11222535/"" title=""September 27-28, 2017 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:09/27/2017%20to%2010/03/2017+And+recSchedule:2001-07"" title=""Ordinances from September 27-28, 2017 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/12247991/file/document"" title=""Minutes from September 27-28, 2017 Council meetings"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:09/27/2017%20to%2010/03/2017"" title=""Resolutions from September 27-28, 2017 Council Meeting "">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:09/27/2017%20to%2010/03/2017"" title=""Other from September 27-28, 2017 Council Meeting"">other</a>"
121,2017-10-05,2017-10-04,October 4-5 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11234673/file/document"" title=""October 4-5, 2017 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11234479/"" title=""October 4-5, 2017 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:10/4/2017%20to%2010/5/2017+And+recSchedule:2001-07"" title=""Ordinances from October 4-5, 2017 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/12371248/file/document"" title=""Minutes from October 4-5, 2017 Council Meeting"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:10/4/2017%20to%2010/5/2017"" title=""Resolutions from October 4-5, 2017 Council Meeting "">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:10/4/2017%20to%2010/5/2017"" title=""Other from October 4-5, 2017 Council Meeting"">other</a>"
122,2017-10-12,2017-10-11,October 11-12 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11244344/file/document"" title=""October 11-12, 2017 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11244619/"" title=""October 11-12, 2017 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:10/11/2017%20to%2010/17/2017+And+recSchedule:2001-07"" title=""Ordinances from October 11-12, 2017 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/12371249/file/document"" title=""Minutes from October 11-12, 2017 Council Meetings"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:10/11/2017%20to%2010/17/2017"" title=""Resolutions from October 11-12, 2017 Council Meeting "">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:10/11/2017%20to%2010/17/2017"" title=""Other from October 11-12, 2017 Council Meeting"">other</a>"
123,2017-11-09,2017-11-08,November 8-9 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11354753/file/document"" title=""November 8-9, 2017 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11375326/"" title=""November 8-9, 2017 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:11/08/2017%20to%2011/14/2017+And+recSchedule:2001-07"" title=""Ordinances from November 8-9, 2017 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/12375244/file/document"" title=""Minutes from November 8-9, 2017 Council meetings"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:11/08/2017 to 11/14/2017"" title=""Resolutions from November 8, 2017 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:11/08/2017 to 11/14/2017"" title=""Other from November 8-9, 2017 Council Meeting"">other</a>"
124,2017-11-23,2017-11-22,November 22-23 2017 Council Agenda,NO COUNCIL MEETINGS,,,,,
125,2017-11-30,2017-11-29,November 29-30 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11412629/file/document"" title=""November 29-30, 2017 Disposition agenda""> agenda </a>","<a href=""http://efiles.portlandoregon.gov/Record/11410474/"" title=""November 29-30, 2017 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:11/29/2017%20to%2012/05/2017+And+recSchedule:2001-07"" title=""Ordinances from November 29-30, 2017 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/12393092/file/document"" title=""Minutes from November 29-30, 2017 Council Meeting"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:11/29/2017%20to%2012/05/2017"" title=""Resolutions from November 29-30, 2017 Council Meetings"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:11/29/2017%20to%2012/05/2017"" title=""Other from November 29-30, 2017 Council Meeting"">other</a>"
126,2017-12-07,2017-12-06,December 6-7 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11439994/file/document"" title=""December 6-7, 2017 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11436136/"" title=""December 6-7, 2017 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:12/06/2017%20to%2012/13/2017+And+recSchedule:2001-07"" title=""Ordinances from December 6-7, 2017 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/12397407/file/document"" title=""Minutes from December 6-7, 2017 Council meetings"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:12/05/2017%20to%2012/12/17"" title=""Resolutions from December 6-7, 2017 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:12/05/2017%20to%2012/12/17"" title=""Other from December 6-7, 2017 Council Meeting"">other</a>"
127,2017-12-14,2017-12-13,December 13-14 2017 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11501984/file/document"" title=""December 13-14, 2017 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11506764/"" title=""December 13-14, 2017 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:12/13/2017%20to%2012/26/2017+And+recSchedule:2001-07"" title=""Ordinances from December 13-14, 2017 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/12397411/file/document"" title=""Minutes fro December 13-14, 2017 Council Meetings"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:12/13/2017%20to%2012/19/2017"" title=""Resolutions from December 13-14, 2017 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:12/13/2017%20to%2012/19/2017"" title=""Other from December 13-14, 2017 Council Meeting"">other</a>"
128,2017-12-28,2017-12-27,December 27-28 2017 Council Agenda,NO COUNCIL MEETINGS,,,,,
129,2018-01-11,2018-01-10,January 10-11 2018 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11566132/file/document"" title=""January 10-11, 2018 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11572964/"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:01/10/2018%20to%2001/16/2018+And+recSchedule:2001-07"" title=""Ordinances from January 10-11, 2018 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/13080325/file/document"" title=""Minutes from January 10-11, 2018 Council Meeting"">minutes</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:01/10/2018%20to%2001/16/2018"" title=""Other from January 10-11, 2018 Council Meeting"">other</a>"
130,2018-01-18,2018-01-17,January 17-18 2018 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11581400/file/document"" title=""January 17-18, 2018 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11586676/"" title=""January 17-18, 2018 Council Meeting Recording"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:01/17/2018 to 01/23/2018+And+recSchedule:2001-07&amp;_ga=2.257119371.1699251858.1516996131-1735872575.1488839340"" title=""Ordinances from January 17-18, 2018 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/13080331/file/document"" title=""Minutes from January 17-18, 2018 Council Meeting"">minutes</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:01/17/2018 to 01/23/2018&amp;_ga=2.234511518.1699251858.1516996131-1735872575.1488839340"" title=""Other from January 17-18, 2018 Council Meeting"">other</a>"
131,2018-02-08,2018-02-07,February 7-8 2018 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11663586/file/document"" title=""February 7-8, 2018 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11664615/"" title=""February 7, 2018 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:02/07/2018%20to%2002/13/2018+And+recSchedule:2001-07"" title=""Ordinances from February 7-8, 2018 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/13080337/file/document"" title=""Minutes from February 7-8, 2018 Council Meeting"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:02/07/2018%20to%2002/13/2018"" title=""Resolutions from February 7-8, 2018 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:02/07/2018%20to%2002/13/2018"" title=""Other from February 7-8, 2018 Council Meeting"">other</a>"
132,2018-02-15,2018-02-14,February 14-15 2018 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11682052/file/document"" title=""February 14-15, 2018 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11683289/"" title=""February 14-15, 2018 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:02/14/2018%20to%2002/20/2018+And+recSchedule:2001-07&amp;_ga=2.209491666.1992828363.1519237148-722174896.1490726479"" title=""Ordinances from February 14-15, 2018 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/13080339/file/document"" title=""Minutes from February 14-15, 2018 Council Meeting"">minutes</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:02/14/2018%20to%2002/20/2018&amp;_ga=2.209491666.1992828363.1519237148-722174896.1490726479"" title=""Other from February 14-15, 2018 Council Meeting"">other</a>"
133,2018-03-08,2018-03-07,March 7-8 2018 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11721573/file/document"" title=""March 7-8, 2018 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11720767/"" title=""March 7-8, 2018 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:03/07/2018 to 03/13/2018+And+recSchedule:2001-07"" title=""Ordinances from March 7-8, 1018 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/13080345/file/document"" title=""Minutes from March 7-8, 2018 Council Meeting"">minutes</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:03/07/2018 to 03/13/2018"" title=""Other from March 7-8, 1018 Council Meeting"">other</a>"
134,2018-03-15,2018-03-14,March 14-15 2018 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11735875/file/document"" title=""March 14-15, 2018 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11745950/?_ga=2.59839342.21116220.1521831175-722174896.1490726479"" title=""March 14-15, 2018 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:03/14/2018 to 03/20/2018+And+recSchedule:2001-07"" title=""Ordinances from March 14-15, 2018 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/13080347/file/document"" title=""Minutes from March 14-15, 2018 Council Meeting"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:03/14/2018 to 03/20/2018"" title=""Resolutions from March 14-15, 2018 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:03/14/2018 to 03/20/2018"" title=""Other from March 14-15, 2018 Council Meeting"">other</a>"
135,2018-03-22,2018-03-21,March 21-22 2018 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11773201/file/document"" title=""March 21-22, 2018 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11773323/"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:03/21/2018 to 03/27/2018+And+recSchedule:2001-07"" title=""Ordinances from March 21-22, 2018 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/13080349/file/document"" title=""Minutes from March 21-22, 2018 Council Meeting"">minutes</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:03/21/2018 to 03/27/2018"" title=""Other from March 21-22, 2018 Council Meeting"">other</a>"
136,2018-05-03,2018-05-02,May 2-3 2018 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11848660/file/document"" title=""May 2-3, 2018 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11849952/"" title=""May 2-3, 2018 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:05/02/2018 to 05/08/2018+And+recSchedule:2001-07"" title=""Ordinances from May 2-3, 2018 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/13080357/file/document"" title=""Minutes from May 2-3, 2018 Council Meeting"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:05/02/2018 to 05/08/2018"" title=""Resolutions from May 2-3, 2018 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:05/02/2018 to 05/08/2018"" title=""Other from May 2-3, 2018 Council Meeting"">other</a>"
137,2018-05-10,2018-05-09,May 9-10 2018 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11864559/file/document"" title=""May 9-10, 2018 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11871497/"" title=""May 9-10, 2018 Council Meeting Recording"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:05/09/2018%20to%2005/15/2018+And+recSchedule:2001-07"" title=""Ordinances from May 9-10, 2018 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/13080358/file/document"" title=""Minutes from May 9-10, 2018 Council Meeting"">minutes</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:05/09/2018%20to%2005/15/2018"" title=""Other from May 9-10, 2018 Council Meeting"">other</a>"
138,2018-05-17,2018-05-16,May 16-17 2018 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/11877716/file/document"" title=""May 16-17, 2018 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/11883232/"" title=""May 16-17, 2018 Council Meeting Recording"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:05/16/2018%20to%2005/22/2018+And+recSchedule:2001-07"" title=""Ordinances from May 16-17, 2018 Council Meeting"">ordinances</a>","<a href=""https://efiles.portlandoregon.gov/Record/13080359/file/document"" title=""Minutes from May 16-17, 2018 Council Meeting"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:05/16/2018%20to%2005/22/2018"" title=""Resolutions from May 16-17, 2018 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:05/16/2018%20to%2005/22/2018"" title=""Other from May 16-17, 2018 Council Meeting"">other</a>"
