ID,END_DATE,START_DATE,AGENDA_TITLE,AGENDA,MP3,ORDINANCES,MINUTES,RESOLUTIONS,OTHER
11,2011-09-15,2011-09-14,September 14-15 2011 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/4514805/File/Document/"" title=""September 14-15, 2011 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/4514356/"" title=""September 14-15, 2011 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=createdOn:9/12/2011 to 9/16/2011+And+recSchedule:2001-07"" title=""Ordinances from September 14-15, 2011 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/4669112/File/Document/"" title=""Minutes from September 14-15, 2011 Council Meetings"">official</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:9/14/2011 to 9/15/2011"" title=""Resolutions from September 14-15, 2011 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:9/12/2011 to 9/17/2011"" title=""Other documents from September 14-15, 2011 Council Meeting"">other</a>"
12,2011-09-29,2011-09-28,September 28-29 2011 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/4519371/File/Document/"" title=""September 28-29, 2011 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/4518605/"" title=""September 28-29, 2011 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=createdOn:9/26/2011 to 9/30/2011+And+recSchedule:2001-07"" title=""Ordinances from September 28-29, 2011 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/4763433/File/Document/"" title=""Minutes from September 28-29, 2011 Council Meetings"">official</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:9/26/2011 to 9/30/2011"" title=""Other documents from September 28-29, 2011 Council Meeting"">other</a>"
13,2011-11-17,2011-11-16,November 16-17 2011 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/4570945/File/Document/"" title=""November 16-17, 2011 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/4569766/"" title=""November 16-17, 2011 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=createdOn:11/14/2011 to 11/18/2011+And+recSchedule:2001-07"" title=""Ordinances from November 16-17, 2011 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/4593407/File/Document/"" title=""Minutes from November 16-17, 2011 Council Meetings"">official</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:11/14/2011 to 11/18/2011"" title=""Other documents from November 16-17, 2011 Council Meeting"">other</a>"
14,2011-12-08,2011-12-07,December 7-8 2011 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/4604905/File/Document/"" title=""December 7-8, 2011 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/4603000/"" title=""December 7-8, 2011 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=createdOn:12/5/2011 to 12/9/2011+And+recSchedule:2001-07"" title=""Ordinances from December 7-8, 2011 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/4624908/File/Document/"" title=""Minutes from December 7-8, 2011"">official</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:12/5/2011 to 12/9/2011"" title=""Other documents from December 7-8, 2011 Council Meeting"">other</a>"
15,2011-12-15,2011-12-14,December 14-15 2011 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/4616674/File/Document/"" title=""December 14-15, 2011 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/4611139/"" title=""December 14-15, 2011 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=createdOn:12/12/2011 to 12/16/2011+And+recSchedule:2001-07"" title=""Ordinances from December 14-15, 2011 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/4631605/File/Document/"" title=""Minutes from December 14-15, 2011"">official</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:12/12/2011 to 12/16/2011"" title=""Other documents from December 14-15, 2011 Council Meeting"">other</a>"
16,2011-12-29,2011-12-28,December 28-29 2011 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/4632479/File/Document/"" title=""December 28, 2011 Disposition Agenda"">agenda</a>",NO COUNCIL MEETING,,,,
17,2014-01-09,2014-01-08,January 8-9 2014 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/6286146/File/Document/"" title=""January 8-9, 2014 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/6286014/"" title=""January 8-9, 2014 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:1/8/2014 to 1/13/2014+And+recSchedule:2001-07"" title=""Ordinances from January 8-9, 2014 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/6964356/File/Document/"" title=""Minutes from January 8-9, 2014 Council Meeting"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:1/8/2014 to 1/13/2014"" title=""Resolutions from January 8-9, 2014 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:1/8/2014 to 1/13/2014"" title=""Other documents from January 8-9, 2014 Council Meeting"">other</a>"
18,2014-04-10,2014-04-09,April 9-10 2014 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/6513676/File/Document/"" title=""April 9-10, 2014 Council Agenda Disposition "">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/6474599/"" title=""April 9-10, 2014 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:4/9/2014 to 4/13/2014+And+recSchedule:2001-07"" title=""Ordinances from April 9-10, 2014 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/6965045/File/Document/"" title=""Minutes from April 9-10, 2014 Council Meetings"">minutes</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:4/9/2014 to 4/13/2014"" title=""Other documents from April 9-10, 2014 Council Meeting"">other</a>"
19,2014-05-22,2014-05-21,May 21-22 2014 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/6755015/File/Document/"" title=""May 21-22, 2014 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/6756040/"" title=""May 21-22, 2014 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:5/21/2014 to 5/25/2014+And+recSchedule:2001-07"" title=""Ordinances from May 21-22, 2014 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/7012995/File/Document/"" title=""Minutes from May 21-22, 2014 Council Meetings"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:5/21/2014 to 5/25/2014"" title=""Resolutions from May 21-22, 2014 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:5/21/2014 to 5/25/2014"" title=""Other documents from May 21-22, 2014 Council Meeting"">other</a>"
20,2014-05-29,2014-05-28,May 28-29 2014 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/6800548/File/Document/"" title=""May 28-29, 2014 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/6801211/"" title=""May 28-29, 2014 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:5/28/2014 to 5/31/2014+And+recSchedule:2001-07"" title=""Ordinances from May 28-29, 2014 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/7012998/File/Document/"" title=""Minutes from May 28-29, 2014 Council Meeting"">minutes</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:5/28/2014 to 5/31/2014"" title=""Other documents from May 28-29, 2014 Council Meeting"">other</a>"
